,Index,Country,Gender,Demographics Question,Demographics Response,Question,Value,Status
11290,11290,Togo,M,Education,Primary,... if she refuses to have sex with him,6.4,High
11291,11291,Togo,M,Education,Secondary,... if she refuses to have sex with him,4.1,Very High
11292,11292,Togo,M,Employment,Employed for cash,... for at least one specific reason,16.2,Medium
11293,11293,Togo,M,Employment,Employed for kind,... for at least one specific reason,29.9,Low
11294,11294,Togo,M,Employment,Unemployed,... for at least one specific reason,13.9,Medium
11295,11295,Togo,M,Employment,Employed for cash,... if she argues with him,8.8,High
11296,11296,Togo,M,Employment,Employed for kind,... if she argues with him,15.8,Medium
11297,11297,Togo,M,Employment,Unemployed,... if she argues with him,8.8,High
11298,11298,Togo,M,Employment,Employed for cash,... if she burns the food,4.5,Very High
11299,11299,Togo,M,Employment,Employed for kind,... if she burns the food,11.9,Medium
11300,11300,Togo,M,Employment,Unemployed,... if she burns the food,4.6,Very High
11301,11301,Togo,M,Employment,Employed for cash,... if she goes out without telling him,9.4,High
11302,11302,Togo,M,Employment,Employed for kind,... if she goes out without telling him,15.1,Medium
11303,11303,Togo,M,Employment,Unemployed,... if she goes out without telling him,5.8,High
11304,11304,Togo,M,Employment,Employed for cash,... if she neglects the children,11.1,Medium
11305,11305,Togo,M,Employment,Employed for kind,... if she neglects the children,19.7,Medium
11306,11306,Togo,M,Employment,Unemployed,... if she neglects the children,7.4,High
11307,11307,Togo,M,Employment,Employed for cash,... if she refuses to have sex with him,4.3,Very High
11308,11308,Togo,M,Employment,Employed for kind,... if she refuses to have sex with him,9.3,High
11309,11309,Togo,M,Employment,Unemployed,... if she refuses to have sex with him,3.8,Very High
11310,11310,Togo,M,Marital status,Married or living together,... for at least one specific reason,17.6,Medium
11311,11311,Togo,M,Marital status,Never married,... for at least one specific reason,18.4,Medium
11312,11312,Togo,M,Marital status,"Widowed, divorced, separated",... for at least one specific reason,22.7,Medium
11313,11313,Togo,M,Marital status,Married or living together,... if she argues with him,9.5,High
11314,11314,Togo,M,Marital status,Never married,... if she argues with him,10.7,Medium
11315,11315,Togo,M,Marital status,"Widowed, divorced, separated",... if she argues with him,10.6,Medium
11316,11316,Togo,M,Marital status,Married or living together,... if she burns the food,5.3,High
11317,11317,Togo,M,Marital status,Never married,... if she burns the food,6.3,High
11318,11318,Togo,M,Marital status,"Widowed, divorced, separated",... if she burns the food,8.5,High
11319,11319,Togo,M,Marital status,Married or living together,... if she goes out without telling him,9.5,High
11320,11320,Togo,M,Marital status,Never married,... if she goes out without telling him,9.5,High
11321,11321,Togo,M,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,12.2,Medium
11322,11322,Togo,M,Marital status,Married or living together,... if she neglects the children,12.3,Medium
11323,11323,Togo,M,Marital status,Never married,... if she neglects the children,11.1,Medium
11324,11324,Togo,M,Marital status,"Widowed, divorced, separated",... if she neglects the children,12.4,Medium
11325,11325,Togo,M,Marital status,Married or living together,... if she refuses to have sex with him,4.3,Very High
11326,11326,Togo,M,Marital status,Never married,... if she refuses to have sex with him,5.8,High
11327,11327,Togo,M,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,6.3,High
11328,11328,Togo,M,Residence,Rural,... for at least one specific reason,23.4,Medium
11329,11329,Togo,M,Residence,Urban,... for at least one specific reason,11.6,Medium
11330,11330,Togo,M,Residence,Rural,... if she argues with him,13.2,Medium
11331,11331,Togo,M,Residence,Urban,... if she argues with him,6.3,High
11332,11332,Togo,M,Residence,Rural,... if she burns the food,8.5,High
11333,11333,Togo,M,Residence,Urban,... if she burns the food,2.6,Very High
11334,11334,Togo,M,Residence,Rural,... if she goes out without telling him,12.5,Medium
11335,11335,Togo,M,Residence,Urban,... if she goes out without telling him,6.0,High
11336,11336,Togo,M,Residence,Rural,... if she neglects the children,15.6,Medium
11337,11337,Togo,M,Residence,Urban,... if she neglects the children,6.9,High
11338,11338,Togo,M,Residence,Rural,... if she refuses to have sex with him,7.1,High
11339,11339,Togo,M,Residence,Urban,... if she refuses to have sex with him,2.6,Very High
11340,11340,Turkey,F,Age,15-24,... for at least one specific reason,10.8,Medium
11341,11341,Turkey,F,Age,25-34,... for at least one specific reason,11.6,Medium
11342,11342,Turkey,F,Age,35-49,... for at least one specific reason,16.4,Medium
11343,11343,Turkey,F,Age,15-24,... if she argues with him,5.2,High
11344,11344,Turkey,F,Age,25-34,... if she argues with him,5.0,
11345,11345,Turkey,F,Age,35-49,... if she argues with him,7.9,High
11346,11346,Turkey,F,Age,15-24,... if she burns the food,0.7,Very High
11347,11347,Turkey,F,Age,25-34,... if she burns the food,1.0,Very High
11348,11348,Turkey,F,Age,35-49,... if she burns the food,1.7,Very High
11349,11349,Turkey,F,Age,15-24,... if she goes out without telling him,2.9,Very High
11350,11350,Turkey,F,Age,25-34,... if she goes out without telling him,4.0,Very High
11351,11351,Turkey,F,Age,35-49,... if she goes out without telling him,5.8,High
11352,11352,Turkey,F,Age,15-24,... if she neglects the children,6.1,High
11353,11353,Turkey,F,Age,25-34,... if she neglects the children,8.1,High
11354,11354,Turkey,F,Age,35-49,... if she neglects the children,11.5,Medium
11355,11355,Turkey,F,Age,15-24,... if she refuses to have sex with him,1.6,Very High
11356,11356,Turkey,F,Age,25-34,... if she refuses to have sex with him,2.1,Very High
11357,11357,Turkey,F,Age,35-49,... if she refuses to have sex with him,3.6,Very High
11358,11358,Turkey,F,Education,Higher,... for at least one specific reason,3.7,Very High
11359,11359,Turkey,F,Education,No education,... for at least one specific reason,37.0,Low
11360,11360,Turkey,F,Education,Primary,... for at least one specific reason,17.8,Medium
11361,11361,Turkey,F,Education,Secondary,... for at least one specific reason,9.6,High
11362,11362,Turkey,F,Education,Higher,... if she argues with him,1.4,Very High
11363,11363,Turkey,F,Education,No education,... if she argues with him,18.9,Medium
11364,11364,Turkey,F,Education,Primary,... if she argues with him,8.4,High
11365,11365,Turkey,F,Education,Secondary,... if she argues with him,4.2,Very High
11366,11366,Turkey,F,Education,Higher,... if she burns the food,0.1,Very High
11367,11367,Turkey,F,Education,No education,... if she burns the food,6.7,High
11368,11368,Turkey,F,Education,Primary,... if she burns the food,1.1,Very High
11369,11369,Turkey,F,Education,Secondary,... if she burns the food,0.6,Very High
11370,11370,Turkey,F,Education,Higher,... if she goes out without telling him,0.6,Very High
11371,11371,Turkey,F,Education,No education,... if she goes out without telling him,16.7,Medium
11372,11372,Turkey,F,Education,Primary,... if she goes out without telling him,6.1,High
11373,11373,Turkey,F,Education,Secondary,... if she goes out without telling him,2.3,Very High
11374,11374,Turkey,F,Education,Higher,... if she neglects the children,2.6,Very High
11375,11375,Turkey,F,Education,No education,... if she neglects the children,25.3,Low
11376,11376,Turkey,F,Education,Primary,... if she neglects the children,12.3,Medium
11377,11377,Turkey,F,Education,Secondary,... if she neglects the children,5.6,High
11378,11378,Turkey,F,Education,Higher,... if she refuses to have sex with him,0.5,Very High
11379,11379,Turkey,F,Education,No education,... if she refuses to have sex with him,10.9,Medium
11380,11380,Turkey,F,Education,Primary,... if she refuses to have sex with him,3.2,Very High
11381,11381,Turkey,F,Education,Secondary,... if she refuses to have sex with him,1.2,Very High
11382,11382,Turkey,F,Employment,Employed for cash,... for at least one specific reason,6.04,High
11383,11383,Turkey,F,Employment,Employed for kind,... for at least one specific reason,6.1,High
11384,11384,Turkey,F,Employment,Unemployed,... for at least one specific reason,13.2,Medium
11385,11385,Turkey,F,Employment,Employed for cash,... if she argues with him,1.01,Very High
11386,11386,Turkey,F,Employment,Employed for kind,... if she argues with him,1.02,Very High
11387,11387,Turkey,F,Employment,Unemployed,... if she argues with him,6.2,High
11388,11388,Turkey,F,Employment,Employed for cash,... if she burns the food,1.18,Very High
11389,11389,Turkey,F,Employment,Employed for kind,... if she burns the food,1.19,Very High
11390,11390,Turkey,F,Employment,Unemployed,... if she burns the food,1.1,Very High
11391,11391,Turkey,F,Employment,Employed for cash,... if she goes out without telling him,1.37,Very High
11392,11392,Turkey,F,Employment,Employed for kind,... if she goes out without telling him,1.38,Very High
11393,11393,Turkey,F,Employment,Unemployed,... if she goes out without telling him,4.4,Very High
11394,11394,Turkey,F,Employment,Employed for cash,... if she neglects the children,1.6,Very High
11395,11395,Turkey,F,Employment,Employed for kind,... if she neglects the children,1.61,Very High
11396,11396,Turkey,F,Employment,Unemployed,... if she neglects the children,8.8,High
11397,11397,Turkey,F,Employment,Employed for cash,... if she refuses to have sex with him,1.87,Very High
11398,11398,Turkey,F,Employment,Employed for kind,... if she refuses to have sex with him,1.88,Very High
11399,11399,Turkey,F,Employment,Unemployed,... if she refuses to have sex with him,2.5,Very High
11400,11400,Turkey,F,Marital status,Married or living together,... for at least one specific reason,15.0,Medium
11401,11401,Turkey,F,Marital status,Never married,... for at least one specific reason,8.9,High
11402,11402,Turkey,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,14.7,Medium
11403,11403,Turkey,F,Marital status,Married or living together,... if she argues with him,6.9,High
11404,11404,Turkey,F,Marital status,Never married,... if she argues with him,4.3,Very High
11405,11405,Turkey,F,Marital status,"Widowed, divorced, separated",... if she argues with him,7.1,High
11406,11406,Turkey,F,Marital status,Married or living together,... if she burns the food,1.3,Very High
11407,11407,Turkey,F,Marital status,Never married,... if she burns the food,0.7,Very High
11408,11408,Turkey,F,Marital status,"Widowed, divorced, separated",... if she burns the food,1.9,Very High
11409,11409,Turkey,F,Marital status,Married or living together,... if she goes out without telling him,5.2,High
11410,11410,Turkey,F,Marital status,Never married,... if she goes out without telling him,2.3,Very High
11411,11411,Turkey,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,6.5,High
11412,11412,Turkey,F,Marital status,Married or living together,... if she neglects the children,10.3,Medium
11413,11413,Turkey,F,Marital status,Never married,... if she neglects the children,5.3,High
11414,11414,Turkey,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,8.6,High
11415,11415,Turkey,F,Marital status,Married or living together,... if she refuses to have sex with him,3.0,Very High
11416,11416,Turkey,F,Marital status,Never married,... if she refuses to have sex with him,1.2,Very High
11417,11417,Turkey,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,3.5,Very High
11418,11418,Turkey,F,Residence,Rural,... for at least one specific reason,23.6,Medium
11419,11419,Turkey,F,Residence,Urban,... for at least one specific reason,10.7,Medium
11420,11420,Turkey,F,Residence,Rural,... if she argues with him,12.5,Medium
11421,11421,Turkey,F,Residence,Urban,... if she argues with him,4.7,Very High
11422,11422,Turkey,F,Residence,Rural,... if she burns the food,2.8,Very High
11423,11423,Turkey,F,Residence,Urban,... if she burns the food,0.7,Very High
11424,11424,Turkey,F,Residence,Rural,... if she goes out without telling him,9.4,High
11425,11425,Turkey,F,Residence,Urban,... if she goes out without telling him,3.2,Very High
11426,11426,Turkey,F,Residence,Rural,... if she neglects the children,15.3,Medium
11427,11427,Turkey,F,Residence,Urban,... if she neglects the children,7.2,High
11428,11428,Turkey,F,Residence,Rural,... if she refuses to have sex with him,5.6,High
11429,11429,Turkey,F,Residence,Urban,... if she refuses to have sex with him,1.8,Very High
11430,11430,Turkey,M,Age,15-24,... for at least one specific reason,3.16,Very High
11431,11431,Turkey,M,Age,25-34,... for at least one specific reason,0.04,Very High
11432,11432,Turkey,M,Age,35-49,... for at least one specific reason,0.04,Very High
11433,11433,Turkey,M,Age,15-24,... if she argues with him,0.53,Very High
11434,11434,Turkey,M,Age,25-34,... if she argues with him,0.01,Very High
11435,11435,Turkey,M,Age,35-49,... if she argues with him,0.01,Very High
11436,11436,Turkey,M,Age,15-24,... if she burns the food,0.62,Very High
11437,11437,Turkey,M,Age,25-34,... if she burns the food,0.01,Very High
11438,11438,Turkey,M,Age,35-49,... if she burns the food,0.01,Very High
11439,11439,Turkey,M,Age,15-24,... if she goes out without telling him,0.72,Very High
11440,11440,Turkey,M,Age,25-34,... if she goes out without telling him,0.01,Very High
11441,11441,Turkey,M,Age,35-49,... if she goes out without telling him,0.01,Very High
11442,11442,Turkey,M,Age,15-24,... if she neglects the children,0.84,Very High
11443,11443,Turkey,M,Age,25-34,... if she neglects the children,0.01,Very High
11444,11444,Turkey,M,Age,35-49,... if she neglects the children,0.01,Very High
11445,11445,Turkey,M,Age,15-24,... if she refuses to have sex with him,0.98,Very High
11446,11446,Turkey,M,Age,25-34,... if she refuses to have sex with him,0.01,Very High
11447,11447,Turkey,M,Age,35-49,... if she refuses to have sex with him,0.01,Very High
11448,11448,Turkey,M,Education,Higher,... for at least one specific reason,0.08,Very High
11449,11449,Turkey,M,Education,No education,... for at least one specific reason,0.08,Very High
11450,11450,Turkey,M,Education,Primary,... for at least one specific reason,0.08,Very High
11451,11451,Turkey,M,Education,Secondary,... for at least one specific reason,0.08,Very High
11452,11452,Turkey,M,Education,Higher,... if she argues with him,0.01,Very High
11453,11453,Turkey,M,Education,No education,... if she argues with him,0.01,Very High
11454,11454,Turkey,M,Education,Primary,... if she argues with him,0.01,Very High
11455,11455,Turkey,M,Education,Secondary,... if she argues with him,0.01,Very High
11456,11456,Turkey,M,Education,Higher,... if she burns the food,0.01,Very High
11457,11457,Turkey,M,Education,No education,... if she burns the food,0.01,Very High
11458,11458,Turkey,M,Education,Primary,... if she burns the food,0.01,Very High
11459,11459,Turkey,M,Education,Secondary,... if she burns the food,0.01,Very High
11460,11460,Turkey,M,Education,Higher,... if she goes out without telling him,0.02,Very High
11461,11461,Turkey,M,Education,No education,... if she goes out without telling him,0.02,Very High
11462,11462,Turkey,M,Education,Primary,... if she goes out without telling him,0.02,Very High
11463,11463,Turkey,M,Education,Secondary,... if she goes out without telling him,0.02,Very High
11464,11464,Turkey,M,Education,Higher,... if she neglects the children,0.02,Very High
11465,11465,Turkey,M,Education,No education,... if she neglects the children,0.02,Very High
11466,11466,Turkey,M,Education,Primary,... if she neglects the children,0.02,Very High
11467,11467,Turkey,M,Education,Secondary,... if she neglects the children,0.02,Very High
11468,11468,Turkey,M,Education,Higher,... if she refuses to have sex with him,0.02,Very High
11469,11469,Turkey,M,Education,No education,... if she refuses to have sex with him,0.02,Very High
11470,11470,Turkey,M,Education,Primary,... if she refuses to have sex with him,0.02,Very High
11471,11471,Turkey,M,Education,Secondary,... if she refuses to have sex with him,0.02,Very High
11472,11472,Turkey,M,Employment,Employed for cash,... for at least one specific reason,0.09,Very High
11473,11473,Turkey,M,Employment,Employed for kind,... for at least one specific reason,0.09,Very High
11474,11474,Turkey,M,Employment,Unemployed,... for at least one specific reason,0.09,Very High
11475,11475,Turkey,M,Employment,Employed for cash,... if she argues with him,0.01,Very High
11476,11476,Turkey,M,Employment,Employed for kind,... if she argues with him,0.01,Very High
11477,11477,Turkey,M,Employment,Unemployed,... if she argues with him,0.01,Very High
11478,11478,Turkey,M,Employment,Employed for cash,... if she burns the food,0.02,Very High
11479,11479,Turkey,M,Employment,Employed for kind,... if she burns the food,0.02,Very High
11480,11480,Turkey,M,Employment,Unemployed,... if she burns the food,0.02,Very High
11481,11481,Turkey,M,Employment,Employed for cash,... if she goes out without telling him,0.02,Very High
11482,11482,Turkey,M,Employment,Employed for kind,... if she goes out without telling him,0.02,Very High
11483,11483,Turkey,M,Employment,Unemployed,... if she goes out without telling him,0.02,Very High
11484,11484,Turkey,M,Employment,Employed for cash,... if she neglects the children,0.02,Very High
11485,11485,Turkey,M,Employment,Employed for kind,... if she neglects the children,0.02,Very High
11486,11486,Turkey,M,Employment,Unemployed,... if she neglects the children,0.02,Very High
11487,11487,Turkey,M,Employment,Employed for cash,... if she refuses to have sex with him,0.03,Very High
11488,11488,Turkey,M,Employment,Employed for kind,... if she refuses to have sex with him,0.03,Very High
11489,11489,Turkey,M,Employment,Unemployed,... if she refuses to have sex with him,0.03,Very High
11490,11490,Turkey,M,Marital status,Married or living together,... for at least one specific reason,0.09,Very High
11491,11491,Turkey,M,Marital status,Never married,... for at least one specific reason,0.09,Very High
11492,11492,Turkey,M,Marital status,"Widowed, divorced, separated",... for at least one specific reason,0.09,Very High
11493,11493,Turkey,M,Marital status,Married or living together,... if she argues with him,0.01,Very High
11494,11494,Turkey,M,Marital status,Never married,... if she argues with him,0.01,Very High
11495,11495,Turkey,M,Marital status,"Widowed, divorced, separated",... if she argues with him,0.01,Very High
11496,11496,Turkey,M,Marital status,Married or living together,... if she burns the food,0.02,Very High
11497,11497,Turkey,M,Marital status,Never married,... if she burns the food,0.02,Very High
11498,11498,Turkey,M,Marital status,"Widowed, divorced, separated",... if she burns the food,0.02,Very High
11499,11499,Turkey,M,Marital status,Married or living together,... if she goes out without telling him,0.02,Very High
11500,11500,Turkey,M,Marital status,Never married,... if she goes out without telling him,0.02,Very High
11501,11501,Turkey,M,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,0.02,Very High
11502,11502,Turkey,M,Marital status,Married or living together,... if she neglects the children,0.02,Very High
11503,11503,Turkey,M,Marital status,Never married,... if she neglects the children,0.02,Very High
11504,11504,Turkey,M,Marital status,"Widowed, divorced, separated",... if she neglects the children,0.02,Very High
11505,11505,Turkey,M,Marital status,Married or living together,... if she refuses to have sex with him,0.03,Very High
11506,11506,Turkey,M,Marital status,Never married,... if she refuses to have sex with him,0.03,Very High
11507,11507,Turkey,M,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,0.03,Very High
11508,11508,Turkey,M,Residence,Rural,... for at least one specific reason,0.1,Very High
11509,11509,Turkey,M,Residence,Urban,... for at least one specific reason,0.1,Very High
11510,11510,Turkey,M,Residence,Rural,... if she argues with him,0.02,Very High
11511,11511,Turkey,M,Residence,Urban,... if she argues with him,0.02,Very High
11512,11512,Turkey,M,Residence,Rural,... if she burns the food,0.02,Very High
11513,11513,Turkey,M,Residence,Urban,... if she burns the food,0.02,Very High
11514,11514,Turkey,M,Residence,Rural,... if she goes out without telling him,0.02,Very High
11515,11515,Turkey,M,Residence,Urban,... if she goes out without telling him,0.02,Very High
11516,11516,Turkey,M,Residence,Rural,... if she neglects the children,0.03,Very High
11517,11517,Turkey,M,Residence,Urban,... if she neglects the children,0.03,Very High
11518,11518,Turkey,M,Residence,Rural,... if she refuses to have sex with him,0.03,Very High
11519,11519,Turkey,M,Residence,Urban,... if she refuses to have sex with him,0.03,Very High
11520,11520,Turkmenistan,F,Age,15-24,... for at least one specific reason,46.2,Very Low
11521,11521,Turkmenistan,F,Age,25-34,... for at least one specific reason,55.4,Very Low
11522,11522,Turkmenistan,F,Age,35-49,... for at least one specific reason,55.2,Very Low
11523,11523,Turkmenistan,F,Age,15-24,... if she argues with him,31.0,Low
11524,11524,Turkmenistan,F,Age,25-34,... if she argues with him,34.6,Low
11525,11525,Turkmenistan,F,Age,35-49,... if she argues with him,36.3,Low
11526,11526,Turkmenistan,F,Age,15-24,... if she burns the food,19.7,Medium
11527,11527,Turkmenistan,F,Age,25-34,... if she burns the food,22.5,Medium
11528,11528,Turkmenistan,F,Age,35-49,... if she burns the food,23.6,Medium
11529,11529,Turkmenistan,F,Age,15-24,... if she goes out without telling him,36.8,Low
11530,11530,Turkmenistan,F,Age,25-34,... if she goes out without telling him,41.6,Low
11531,11531,Turkmenistan,F,Age,35-49,... if she goes out without telling him,43.3,Low
11532,11532,Turkmenistan,F,Age,15-24,... if she neglects the children,38.9,Low
11533,11533,Turkmenistan,F,Age,25-34,... if she neglects the children,46.3,Very Low
11534,11534,Turkmenistan,F,Age,35-49,... if she neglects the children,46.9,Very Low
11535,11535,Turkmenistan,F,Age,15-24,... if she refuses to have sex with him,16.6,Medium
11536,11536,Turkmenistan,F,Age,25-34,... if she refuses to have sex with him,22.0,Medium
11537,11537,Turkmenistan,F,Age,35-49,... if she refuses to have sex with him,25.7,Low
11538,11538,Turkmenistan,F,Education,Higher,... for at least one specific reason,30.3,Low
11539,11539,Turkmenistan,F,Education,No education,... for at least one specific reason,61.3,Very Low
11540,11540,Turkmenistan,F,Education,Primary,... for at least one specific reason,56.8,Very Low
11541,11541,Turkmenistan,F,Education,Secondary,... for at least one specific reason,53.2,Very Low
11542,11542,Turkmenistan,F,Education,Higher,... if she argues with him,15.4,Medium
11543,11543,Turkmenistan,F,Education,No education,... if she argues with him,44.7,Low
11544,11544,Turkmenistan,F,Education,Primary,... if she argues with him,35.8,Low
11545,11545,Turkmenistan,F,Education,Secondary,... if she argues with him,35.0,Low
11546,11546,Turkmenistan,F,Education,Higher,... if she burns the food,8.0,High
11547,11547,Turkmenistan,F,Education,No education,... if she burns the food,32.7,Low
11548,11548,Turkmenistan,F,Education,Primary,... if she burns the food,26.3,Low
11549,11549,Turkmenistan,F,Education,Secondary,... if she burns the food,22.7,Medium
11550,11550,Turkmenistan,F,Education,Higher,... if she goes out without telling him,20.3,Medium
11551,11551,Turkmenistan,F,Education,No education,... if she goes out without telling him,57.8,Very Low
11552,11552,Turkmenistan,F,Education,Primary,... if she goes out without telling him,49.6,Very Low
11553,11553,Turkmenistan,F,Education,Secondary,... if she goes out without telling him,41.5,Low
11554,11554,Turkmenistan,F,Education,Higher,... if she neglects the children,23.4,Medium
11555,11555,Turkmenistan,F,Education,No education,... if she neglects the children,47.7,Very Low
11556,11556,Turkmenistan,F,Education,Primary,... if she neglects the children,44.6,Low
11557,11557,Turkmenistan,F,Education,Secondary,... if she neglects the children,45.1,Very Low
11558,11558,Turkmenistan,F,Education,Higher,... if she refuses to have sex with him,6.6,High
11559,11559,Turkmenistan,F,Education,No education,... if she refuses to have sex with him,34.1,Low
11560,11560,Turkmenistan,F,Education,Primary,... if she refuses to have sex with him,29.9,Low
11561,11561,Turkmenistan,F,Education,Secondary,... if she refuses to have sex with him,21.9,Medium
11562,11562,Turkmenistan,F,Employment,Employed for cash,... for at least one specific reason,48.9,Very Low
11563,11563,Turkmenistan,F,Employment,Employed for kind,... for at least one specific reason,72.6,Very Low
11564,11564,Turkmenistan,F,Employment,Unemployed,... for at least one specific reason,54.3,Very Low
11565,11565,Turkmenistan,F,Employment,Employed for cash,... if she argues with him,31.1,Low
11566,11566,Turkmenistan,F,Employment,Employed for kind,... if she argues with him,49.1,Very Low
11567,11567,Turkmenistan,F,Employment,Unemployed,... if she argues with him,36.3,Low
11568,11568,Turkmenistan,F,Employment,Employed for cash,... if she burns the food,19.3,Medium
11569,11569,Turkmenistan,F,Employment,Employed for kind,... if she burns the food,48.4,Very Low
11570,11570,Turkmenistan,F,Employment,Unemployed,... if she burns the food,23.9,Medium
11571,11571,Turkmenistan,F,Employment,Employed for cash,... if she goes out without telling him,37.8,Low
11572,11572,Turkmenistan,F,Employment,Employed for kind,... if she goes out without telling him,57.4,Very Low
11573,11573,Turkmenistan,F,Employment,Unemployed,... if she goes out without telling him,42.5,Low
11574,11574,Turkmenistan,F,Employment,Employed for cash,... if she neglects the children,40.6,Low
11575,11575,Turkmenistan,F,Employment,Employed for kind,... if she neglects the children,58.3,Very Low
11576,11576,Turkmenistan,F,Employment,Unemployed,... if she neglects the children,46.4,Very Low
11577,11577,Turkmenistan,F,Employment,Employed for cash,... if she refuses to have sex with him,18.7,Medium
11578,11578,Turkmenistan,F,Employment,Employed for kind,... if she refuses to have sex with him,43.9,Low
11579,11579,Turkmenistan,F,Employment,Unemployed,... if she refuses to have sex with him,23.1,Medium
11580,11580,Turkmenistan,F,Marital status,Married or living together,... for at least one specific reason,57.4,Very Low
11581,11581,Turkmenistan,F,Marital status,Never married,... for at least one specific reason,41.4,Low
11582,11582,Turkmenistan,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,49.1,Very Low
11583,11583,Turkmenistan,F,Marital status,Married or living together,... if she argues with him,37.5,Low
11584,11584,Turkmenistan,F,Marital status,Never married,... if she argues with him,27.4,Low
11585,11585,Turkmenistan,F,Marital status,"Widowed, divorced, separated",... if she argues with him,29.0,Low
11586,11586,Turkmenistan,F,Marital status,Married or living together,... if she burns the food,24.1,Medium
11587,11587,Turkmenistan,F,Marital status,Never married,... if she burns the food,17.9,Medium
11588,11588,Turkmenistan,F,Marital status,"Widowed, divorced, separated",... if she burns the food,18.4,Medium
11589,11589,Turkmenistan,F,Marital status,Married or living together,... if she goes out without telling him,44.6,Low
11590,11590,Turkmenistan,F,Marital status,Never married,... if she goes out without telling him,32.8,Low
11591,11591,Turkmenistan,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,35.3,Low
11592,11592,Turkmenistan,F,Marital status,Married or living together,... if she neglects the children,48.4,Very Low
11593,11593,Turkmenistan,F,Marital status,Never married,... if she neglects the children,35.0,Low
11594,11594,Turkmenistan,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,40.7,Low
11595,11595,Turkmenistan,F,Marital status,Married or living together,... if she refuses to have sex with him,24.8,Medium
11596,11596,Turkmenistan,F,Marital status,Never married,... if she refuses to have sex with him,14.2,Medium
11597,11597,Turkmenistan,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,19.4,Medium
11598,11598,Turkmenistan,F,Residence,Rural,... for at least one specific reason,57.0,Very Low
11599,11599,Turkmenistan,F,Residence,Urban,... for at least one specific reason,45.6,Very Low
11600,11600,Turkmenistan,F,Residence,Rural,... if she argues with him,39.7,Low
11601,11601,Turkmenistan,F,Residence,Urban,... if she argues with him,26.9,Low
11602,11602,Turkmenistan,F,Residence,Rural,... if she burns the food,26.3,Low
11603,11603,Turkmenistan,F,Residence,Urban,... if she burns the food,16.7,Medium
11604,11604,Turkmenistan,F,Residence,Rural,... if she goes out without telling him,46.4,Very Low
11605,11605,Turkmenistan,F,Residence,Urban,... if she goes out without telling him,33.2,Low
11606,11606,Turkmenistan,F,Residence,Rural,... if she neglects the children,48.8,Very Low
11607,11607,Turkmenistan,F,Residence,Urban,... if she neglects the children,37.6,Low
11608,11608,Turkmenistan,F,Residence,Rural,... if she refuses to have sex with him,24.4,Medium
11609,11609,Turkmenistan,F,Residence,Urban,... if she refuses to have sex with him,17.2,Medium
11610,11610,Turkmenistan,M,Age,15-24,... for at least one specific reason,18.09,Medium
11611,11611,Turkmenistan,M,Age,25-34,... for at least one specific reason,0.2,Very High
11612,11612,Turkmenistan,M,Age,35-49,... for at least one specific reason,0.2,Very High
11613,11613,Turkmenistan,M,Age,15-24,... if she argues with him,3.02,Very High
11614,11614,Turkmenistan,M,Age,25-34,... if she argues with him,0.03,Very High
11615,11615,Turkmenistan,M,Age,35-49,... if she argues with him,0.03,Very High
11616,11616,Turkmenistan,M,Age,15-24,... if she burns the food,3.52,Very High
11617,11617,Turkmenistan,M,Age,25-34,... if she burns the food,0.04,Very High
11618,11618,Turkmenistan,M,Age,35-49,... if she burns the food,0.04,Very High
11619,11619,Turkmenistan,M,Age,15-24,... if she goes out without telling him,4.1,Very High
11620,11620,Turkmenistan,M,Age,25-34,... if she goes out without telling him,0.05,Very High
11621,11621,Turkmenistan,M,Age,35-49,... if she goes out without telling him,0.05,Very High
11622,11622,Turkmenistan,M,Age,15-24,... if she neglects the children,4.79,Very High
11623,11623,Turkmenistan,M,Age,25-34,... if she neglects the children,0.05,Very High
11624,11624,Turkmenistan,M,Age,35-49,... if she neglects the children,0.05,Very High
11625,11625,Turkmenistan,M,Age,15-24,... if she refuses to have sex with him,5.59,High
11626,11626,Turkmenistan,M,Age,25-34,... if she refuses to have sex with him,0.06,Very High
11627,11627,Turkmenistan,M,Age,35-49,... if she refuses to have sex with him,0.06,Very High
11628,11628,Turkmenistan,M,Education,Higher,... for at least one specific reason,0.44,Very High
11629,11629,Turkmenistan,M,Education,No education,... for at least one specific reason,0.45,Very High
11630,11630,Turkmenistan,M,Education,Primary,... for at least one specific reason,0.45,Very High
11631,11631,Turkmenistan,M,Education,Secondary,... for at least one specific reason,0.46,Very High
11632,11632,Turkmenistan,M,Education,Higher,... if she argues with him,0.07,Very High
11633,11633,Turkmenistan,M,Education,No education,... if she argues with him,0.07,Very High
11634,11634,Turkmenistan,M,Education,Primary,... if she argues with him,0.07,Very High
